TARGET_deathRate,incidenceRate,medIncome,povertyPercent,MedianAge,MedianAgeMale,MedianAgeFemale,Geography,AvgHouseholdSize,PercentMarried,PctNoHS18_24,PctHS18_24,PctSomeCol18_24,PctBachDeg18_24,PctPrivateCoverage,PctPublicCoverage,PctPublicCoverageAlone,PctWhite,PctBlack,PctAsian,PctOtherRace,PctMarriedHouseholds
180,475.2,51978,11.8,40.2,38.9,41.5,"Franklin County, Missouri",2.53,56.7,16.1,33.6,44.5,5.8,71.6,28.6,16.5,96.25054013,1.034096712,0.497898417,0.617708292,54.77389453
160.4,461.9,51513,12.1,46.8,45.6,47.9,"Windsor County, Vermont",2.25,53.4,17.1,40.2,NA,10.8,66.3,43.9,22.4,95.94479074,0.669634907,0.934995548,0.463045414,49.80617783
174.9,447.1,47224,14.8,40.8,38.9,41.9,"Brule County, South Dakota",2.47,58.1,26.9,28.7,NA,4,71.6,30.6,14.5,86.15384615,0,0,0.075046904,56.55539429
173.6,473.3,47278,18.3,37.1,35.4,38.7,"Providence County, Rhode Island",2.53,40.8,12.3,27.7,NA,11.7,63.9,35.7,21.3,73.46790196,9.604272443,4.081788031,8.934601616,39.9972302
183.2,389.4,48140,16.2,42.6,39.9,44.3,"Burleson County, Texas",2.67,54.9,19.1,34,NA,5.3,61.2,34.8,15.8,78.71971318,12.25351298,0.399005378,6.083386341,54.53835338
163.7,496.6,81940,6.1,41.9,40.4,43.2,"Hanover County, Virginia",2.65,58.9,13.4,30.3,46.4,9.9,84.7,22.1,8.6,86.44069469,9.299388198,1.474245115,0.69765147,61.85836692
156.6,452.9,51003,11.3,43.4,42.1,44.8,"Wood County, Wisconsin",2.3,55.3,12.2,39.4,NA,10.1,72.8,37.5,18.7,94.99675728,0.532346106,1.991568935,0.614765173,51.03572217
113.2,339,49709,12.9,34.5,34.3,34.8,"Emery County, Utah",3.02,61.9,10.9,38,47.1,4,73.3,28.4,12.5,98.92803878,0.167785235,0.055928412,0.438105891,67.06315491
182.5,478.6,45476,16.4,38.8,37.3,40.5,"Erie County, Pennsylvania",2.43,46.7,12.1,31.8,45.5,10.6,69.6,36.7,19.4,87.52474469,7.066798162,1.423221777,0.873657355,46.11948988
167.3,430.4,47548,14.7,50.7,48.7,52.2,"Indian River County, Florida",2.44,51.7,22.4,36.2,36.1,5.3,59.5,45.1,20.6,86.17375723,9.246426722,1.192026094,1.493007434,49.97492434
159.5,479.8,51880,18.7,30.2,28.5,31.8,"Tompkins County, New York",2.35,37.3,3.1,13,NA,14.6,79.9,24.9,13.1,81.26041115,4.154831255,10.04573684,0.876221655,41.07124285
163.1,402.3,40591,24.5,38.5,36.9,40,"Valencia County, New Mexico",2.78,49.2,18.6,36.2,NA,1.6,52.6,46.1,29.7,74.65169011,1.125863402,0.559655032,16.69528291,51.14469717
219.8,469.3,40526,18.9,39,36.2,40.3,"Pierce County, Georgia",2.72,50.2,21.4,44.9,NA,2.8,54.2,37.7,21.4,86.42653428,7.821907679,0.485898384,2.070349636,51.56748911
155.7,486.6,57447,12.8,38.7,38.3,38.8,"Shelby County, Kentucky",2.67,55.7,26.3,36.9,NA,3.8,71.6,29.3,14.1,86.71483405,7.243170016,1.117633777,2.765861368,58.37739174
154.3,436,55708,10.2,44,43.3,45.2,"Turner County, South Dakota",2.31,63.9,17.3,25.1,48.7,8.8,78.2,29.7,12.2,97.32594556,0.554083353,0.036135871,0.301132257,59.11931818
167.7,341.6,29415,23.9,45.8,45.6,46,"Oregon County, Missouri",2.48,53.9,14.8,45.7,NA,1.3,48.8,47.7,26.7,95.36387649,0.236815739,0.109299572,0.537389562,50.79001603
203.4,454.6,35528,20.1,43.9,43.3,44.7,"Winston County, Alabama",2.53,52.7,19.9,33.5,NA,2.8,58.8,43.9,22.8,96.17488603,0.505594695,0.178201409,0.111893908,52.95556028
166.5,492.4,49251,11.6,48,46.5,49.3,"Douglas County, South Dakota",2.22,66,13.8,20.7,56.9,8.5,71.7,29.5,11.1,95.62731248,0,0.033636058,0,60.49382716
178.9,440.7,48216,10.3,45.9,45,47.7,"Adair County, Iowa",2.25,56.2,8.6,46.1,NA,11.5,75.5,38,14.2,98.46485322,0.363587396,0.323188796,0.175060598,51.62589037
180.2,410.4,46526,16.7,41.4,40.5,42.7,"Freestone County, Texas",2.44,52.7,22.5,32.7,NA,10.3,61.5,33.4,15.2,79.79679363,16.20545287,0.275707138,1.322373124,52.28193357
178.7,489.2,42302,21.9,36.8,35.2,39.1,"Butte County, California",2.55,42.4,8.5,25,NA,7.9,58.5,42.3,24,83.30547618,1.432846282,4.309322262,3.278607502,42.75182259
168.5,437.9,49507,12.4,45.9,44.4,46.7,"Guthrie County, Iowa",2.34,59.6,7,30.7,NA,10.4,74.4,35.9,15.6,97.71880819,0.754189944,0.148975791,0.456238361,54.80726628
239.3,492.5,30217,34.4,40.8,40.5,41,"Lewis County, Kentucky",2.54,55.1,24.3,40.3,NA,1.7,49.1,47.6,30.9,98.22335025,0.261058738,0.072516316,0.478607687,53.7874558
166.5,453.5494221,65549,10.9,37.3,36.4,38.6,"Leavenworth County, Kansas",2.7,53.1,13.3,30.5,NA,8.1,80.2,26.7,10.6,83.88535927,8.462551293,1.574903806,1.127487952,56.92974913
154.5,453.5494221,51343,10.4,46.5,44.4,48.6,"Pope County, Minnesota",2.23,63,20.2,32.3,NA,6.9,76.8,37.6,15.5,97.52466204,0.548045305,0.356229448,0.447570332,56.62299854
220.9,416.8,31386,27.2,37,36.4,38.2,"Adair County, Oklahoma",2.78,52.7,24.4,47.6,NA,2.8,38.6,41.9,29.4,44.2885411,0.296815974,0.589134736,0.98938658,51.95783133
174.6,441.7,54468,9.3,42.7,42.4,42.9,"Spencer County, Indiana",2.58,60.4,20.8,31.9,NA,11.1,77.9,28.5,12.2,96.23130035,0.594553126,0.316455696,1.745301112,62.49372175
177.4,449.8,41037,23.7,27.2,26.6,28,"Payne County, Oklahoma",2.36,41.1,5.1,18.7,66.7,9.5,70.8,26,14.1,80.74235423,3.725621042,4.18392657,0.492300719,42.72642886
232.1,541.3,34991,23.9,40.1,38.9,41.2,"Carter County, Kentucky",2.54,51.9,14.4,33.3,47.3,5,54.3,41.7,26,97.95798873,0.819732123,0.135402181,0.073190368,52.61752646
186.9,442.3,47391,13.9,38.8,37.2,39.8,"Washita County, Oklahoma",2.46,60.5,34.1,31.7,NA,7.8,67.3,30.9,18.2,90.52279166,0.051506567,0.163104129,2.000171689,57.19827586
213.3,458.9,44801,16.5,43.6,42,45.6,"Pleasants County, West Virginia",2.43,55,9,47.1,NA,4.3,71.6,36.8,17.7,97.14510215,0.275013096,0,0,56.79225717
209.5,463.4,35799,20.6,43,42.3,44.1,"Mason County, West Virginia",2.44,51.6,23.1,42.5,NA,3.3,59.6,47.6,26.6,97.86584244,0.724877654,0.058873312,0.099348714,50.71046319
129,398.9,48456,11.8,43.6,41.4,45.5,"Kane County, Utah",2.55,55.9,12.4,72.1,9.6,5.9,64.5,33.4,13.5,93.77950569,0.180505415,0.124965287,0.402665926,51.45213338
173.2,550.1,41757,19.3,41.7,40.2,43.1,"Chautauqua County, New York",2.36,47,13.8,25,NA,6.5,66.5,41,22.4,93.04615292,2.517226302,0.677743769,1.522850293,45.57763418
168.5,428.7,43841,24,28.4,27.6,29.3,"Monroe County, Indiana",2.36,36,3.9,17.5,65.2,13.4,76.6,21.6,11,86.84657734,2.928288531,6.131148001,0.766832392,38.45841411
157,464.3,49890,13,45.8,44.4,47.1,"Berkshire County, Massachusetts",2.22,45.6,13.5,27.9,NA,9.3,70.7,44,22.6,91.822907,2.798403564,1.517542231,1.222077842,43.45582911
153.6,453.5494221,68777,7.6,37.9,36.9,39,"Dodge County, Minnesota",2.67,59.6,13.3,38.6,NA,7,81.8,24.7,12,97.25480532,0.537210448,0.473139478,0.359783144,59.42297512
199.4,487.7,43810,16.2,45.4,43.9,46.9,"Venango County, Pennsylvania",2.38,53.5,17.9,46.5,NA,7.2,67.3,41.3,20.3,96.82039105,0.888583831,0.387711943,0.144696323,51.88666456
180.3,459.6,46388,17.2,36.5,35.3,37.6,"St. Joseph County, Indiana",2.5,46.6,13.5,31.9,NA,10.2,68.4,30.2,17.1,79.52859912,12.9214282,2.013126483,2.037074456,46.38007941
165.4,494,48292,12.7,43.6,42.1,44.9,"Floyd County, Iowa",2.28,55.4,21.7,26.3,43.4,8.6,69,39.3,19.9,94.7165109,2.024922118,0.753894081,0.361370717,50.3260397
166.7,387.2,54232,11.4,40,39.2,40.8,"Allegan County, Michigan",2.67,58.1,17.5,41,36.6,4.8,72,32.5,17.4,94.46546789,1.519005291,0.747095368,0.935863236,60.28214738
165.8,444.5,51003,15.8,35.7,34.5,37.2,"Victoria County, Texas",2.73,50.6,23,37,NA,4.7,61.2,30.5,17.3,85.55033907,6.303066627,1.275263876,3.453978402,51.38418948
200.1,467.6,36350,23.3,39.9,36.8,43.5,"Caldwell Parish, Louisiana",2.48,46.4,26.3,37.5,NA,1,49.8,38.6,23.2,81.29129129,17.56756757,0.14014014,0,46.0656592
211.2,435,38338,20.3,43,42.4,43.8,"Crittenden County, Kentucky",2.4,57.4,17.9,53,NA,8.1,61.7,38.2,18.3,97.40837129,1.225330731,0.043374539,0.086749078,54.51398136
144.3,422.3,52225,14.9,44.1,42.3,45.8,"Palm Beach County, Florida",2.54,46.9,17.7,28.9,NA,8.8,60.5,35.5,19.5,74.98799686,17.97243412,2.503905553,2.180944963,45.4432712
191.5,466.6,47708,16.9,39.2,38.1,40.3,"Winnebago County, Illinois",0.0251,48.2,18.6,34.6,38.8,8,64.4,38.4,22.9,78.77316752,12.53344076,2.486924965,3.091182658,46.52714376
189.4,426,47369,14.6,39.9,38.8,41.1,"Ashland County, Ohio",2.5,53.6,13.7,31.4,NA,5.3,70.7,32,15.4,96.93733667,0.836639155,0.537705165,0.342176014,54.49160425
170.7,376.6,46371,15.2,40.6,39.8,41.9,"Branch County, Michigan",2.58,51.4,24.7,38,NA,6.2,66.6,36.7,19.2,94.67807624,2.377247975,0.464467121,0.681828582,53.74485083
224.8,425.2,29609,28.3,41,38.4,43.7,"Williamsburg County, South Carolina",2.64,37.2,23.1,37,NA,4,51.8,44.1,26.3,32.01456165,66.06594861,0.153438835,0.397135808,39.62978544
172.1,437,61792,10.5,37.1,36,38.3,"Prince George County, Virginia",3.03,49.7,12.5,36.2,NA,5,80.5,25.2,9,59.75922953,32.070626,2.09470305,2.070626003,61.87173482
169.1,457.2,52967,13.4,39.6,38.1,41.1,"Dauphin County, Pennsylvania",2.41,47.3,18.3,35.4,34.2,12,72.4,32.4,16.2,72.09676348,18.00113614,3.529771961,2.892723557,44.48062907
131.2,368.1,32215,34.5,31.2,29.2,33,"Cameron County, Texas",3.42,48.9,22.9,33.7,NA,2.9,34.8,38.8,28.9,92.09301658,0.570885782,0.65175728,5.414083604,52.47363684
134.7,370.5,53721,9.7,48.5,47.1,50.6,"LaMoure County, North Dakota",2.2,64.6,24.3,23.2,42.3,10.1,82,31.4,9.9,98.51689764,0.121565767,0,0.14587892,58.26086957
186.9,506.1,49125,13.2,45.1,43.1,47.3,"Greene County, Iowa",2.3,61,18.8,34.6,36.6,10,75.1,38.7,17.6,97.90712884,0.054501853,0.436014825,0,55.33486122
174.8,443.9,35629,21.5,43.3,41.9,45,"Rutherford County, North Carolina",2.48,50.4,26.7,32.1,NA,5.9,53.4,45.6,26.6,85.35108054,10.18320497,0.595229193,2.096762133,50.04540982
219.4,474,45411,17.4,41.3,39.1,42.9,"Kershaw County, South Carolina",2.58,50.1,17.9,37.9,NA,5.2,64.3,34.6,18.8,70.94958707,24.87484455,0.49105577,1.315327955,49.1981483
203.2,401.7,47123,17.4,36.4,35.9,37,"Liberty County, Texas",2.82,51.5,23.6,38.8,NA,0.7,53.5,32,20.9,80.7991121,10.6948352,0.667217304,5.788142374,56.02906908
173.5,392.3,40722,19.7,47.7,46.5,49.6,"Pope County, Illinois",2.52,47.5,31.7,42.1,NA,0,62.5,48.8,26.7,93.92749942,3.671207573,0.484876472,0.946663588,53.98618958
203.1,460.6,41514,18.2,38.8,37.4,40.7,"Kay County, Oklahoma",2.46,49.3,25.1,35.5,36.8,2.6,58.6,38.7,21.4,79.2331147,1.882115515,0.633952662,2.66523351,46.08887662
186.1,431.1,32508,25,39.7,38.1,41.9,"Anson County, North Carolina",2.55,39.3,20.6,46.1,NA,3.3,53.2,41.5,25.5,48.12703271,48.81193801,1.170843696,0.577769275,40.6686994
160.1,482.4,52485,10.7,40.6,39.1,42,"Chippewa County, Wisconsin",2.44,55.6,14.2,36.1,42.6,7,73.4,33.9,15.7,95.12569413,1.358983689,1.202360423,0.229397712,55.24062236
188.4,519.2,49342,15.9,41.4,40.5,43,"Granville County, North Carolina",0.0268,46.3,25,28.8,NA,6,64.6,35.4,20.3,61.82519059,31.08296477,0.478411262,3.142370373,49.76017406
228.8,478.4,36774,29.1,31.6,27.4,34.4,"Menominee County, Wisconsin",3.48,37.2,24.9,63.9,11.2,0,33.9,45.2,33,11.00876208,0.426870366,2.44888789,0.15726803,40.11119936
201.9,460.4,35490,23.1,44.1,43.5,44.8,"Fairfield County, South Carolina",2.52,45,14,53.6,30.2,2.2,52.4,43.2,26.3,39.11199585,57.43898217,0.268305349,0.701055911,44.17130145
185,310.1,42191,14.5,47.5,46,48.7,"Menominee County, Michigan",2.19,52.9,19.9,43.3,NA,2.9,66.3,41.3,20.1,94.72108614,0.265632247,0.202386474,0.059029388,47.10178856
162,432.9,51423,9.1,44.5,42.7,46.5,"Osceola County, Iowa",2.28,61.6,27.1,40.1,NA,6.3,74.2,34.1,14.6,95.5240702,0.402511673,0.257607471,2.656577041,56.51685393
166.3,357,34304,24.5,41.8,40.6,42.4,"Hidalgo County, New Mexico",2.47,46.1,23.7,48.5,27.2,0.7,42.7,51.9,35,91.21257807,0.258453586,0,5.104458324,44.58424508
177.7,453.5494221,48525,14.7,45.9,44.6,47.1,"Itasca County, Minnesota",2.33,58.5,14.7,27.1,52.7,5.5,69.6,40.6,18.9,93.05904661,0.489482736,0.390263262,0.273404771,55.68151859
224.4,651.3,32749,25.8,39.5,37.3,41.1,"Petersburg city, Virginia",2.44,29.5,14.3,43.7,NA,12,53.1,43.3,26.3,18.14898982,77.07250257,1.319926532,1.273231018,27.0092947
173.4,414.4,46196,12.8,40.4,37.5,42.3,"Benton County, Indiana",2.52,51.4,17.6,46.6,NA,2.7,62.4,35.9,20.5,97.82906764,0.845521024,0.148537477,0.262797075,50.01458151
179.9,457.2,34620,21,50,47.9,51.3,"Cherokee County, North Carolina",2.51,53,15,28.5,NA,5.5,51.8,47.3,24.4,93.69924701,1.616713421,0.369112653,0.668093902,53.94637462
157.2,399.2,50699,18.3,33.1,31.8,34.5,"Bexar County, Texas",2.9,45,15.6,31.6,45.3,7.5,61.1,30.8,18.3,77.71456838,7.479148201,2.630399748,8.319848458,45.72944794
177.9,453.5494221,46859,9.9,49.1,48.8,49.4,"Trego County, Kansas",2.21,66,3.4,26.3,NA,14.8,83.3,26.8,6.1,95.62860047,0.304981362,0.406641816,0.711623179,59.37019969
167.2,438.5,55472,12.4,46.9,44.9,48.2,"Hood County, Texas",2.51,58.3,20.4,36.9,NA,3,64.9,36.3,16,93.66007786,0.818115138,0.626281244,3.116360422,57.52914198
151.2,453.5494221,54354,10,42,41.8,42.2,"Meeker County, Minnesota",2.48,60.4,20.2,37.2,NA,4.5,75.7,32.6,13.4,97.32802975,0.436681223,0.419386917,0.237796705,57.3795509
168.9,484.1,41216,17.5,42.5,41.2,43.7,"McCracken County, Kentucky",2.33,49,17.2,35.6,NA,4.6,65.2,37.9,21.1,85.29690558,10.76168053,0.902030333,0.409735812,45.15519372
195.8,451.5,39408,15.6,52.4,52.4,52.5,"Iron County, Wisconsin",1.99,58.1,22.2,27.7,NA,1.6,65.3,46.7,21.4,97.12205857,0.440155747,0.067716269,0.338581344,50.13745704
172.1,425,49565,10.1,41.5,40.3,42.6,"Van Wert County, Ohio",2.49,56.3,16.7,41.5,34.6,7.1,71.4,36.5,18,96.57754759,0.899356103,0.279955207,0.804871221,55.08586526
213.8,430.4,43476,15.4,41.4,39.9,42.7,"Pawnee County, Oklahoma",2.6,55.7,20.4,49.4,NA,2.6,59.8,38.1,20.3,79.8169586,1.109158131,0.400024244,0.32123159,55.63873845
200.6,474,42075,21.8,37.7,37.1,38.2,"St. Mary Parish, Louisiana",2.58,43,24.1,40.4,NA,2.9,51.3,40.5,25.3,59.90531614,31.129657,1.626092326,2.019049045,41.74704724
194.4,509.6,52448,16.7,36.8,35.5,38.3,"Peoria County, Illinois",2.39,46.3,12.5,25,NA,11.4,68.1,36.5,21.7,73.95730899,17.53067681,3.685493181,1.397558681,43.42926195
157.3,483.7,58368,11.1,36.9,35.9,37.9,"Rankin County, Mississippi",2.62,53.5,15.2,26.8,NA,12.1,73.1,26.8,13,77.11176675,19.68915448,1.223758355,0.673203371,54.32342007
195.3,393.4,39158,18,41.8,40.9,42.6,"Madison County, Arkansas",2.46,62.2,13.9,45.7,NA,1.8,56.4,38.7,22.9,94.86689594,0.464908929,0.6177557,0.713284932,60.85515936
106.1,307.1,57242,9.6,52.9,51.2,53.5,"Ouray County, Colorado",2.31,61,17.3,37.6,NA,2.4,69.8,35,13.9,97.72925764,0,0.829694323,0,56.86868687
156.5,404,61762,9.6,481.2,39.4,41.4,"Greene County, Virginia",2.64,59.8,7.1,52.3,NA,2.6,69.7,26.1,13.8,88.44650966,6.58464463,1.24089133,1.019115007,58.64154127
161.3,433.1,51958,10.2,39.8,38.7,40.8,"Osage County, Missouri",2.62,58.1,11.2,29.6,NA,4.8,78.6,27.4,12.2,98.34278238,0.828608809,0.058147987,0.341619421,60.89830838
194,524.4,35991,22.1,42.1,39.9,43.9,"Lenoir County, North Carolina",2.47,44,21.5,37.7,NA,2.3,53.2,45.3,24.7,55.20397401,40.24531319,0.634547991,1.568507366,41.64131133
173.9,496.2,57732,12.4,40.6,39.2,41.8,"Bristol County, Massachusetts",2.53,46.5,12.9,33.2,NA,10.8,70.5,39.1,21.9,87.1416864,3.698691844,2.072316707,4.169237087,46.67333242
174.2,423,38607,18.1,41.9,40,44.3,"Runnels County, Texas",2.76,51.1,21,46.6,25.8,6.7,58.9,37.7,20.2,91.63235998,2.077549067,0.603159406,3.303015797,52.36294896
186.7,433.7,50258,13.1,39.5,38.8,40.3,"Decatur County, Indiana",2.57,54,23.2,37.5,NA,6.6,68.8,30.6,16.3,96.23094512,0.777439024,1.299542683,0.689786585,52.29303157
208.1,380.1,38071,25.6,36.4,34.5,40.2,"Lafayette County, Florida",2.81,43,37.1,40.7,NA,2.1,51.7,36.6,22.6,77.320759,18.13430292,0.068174071,3.033746165,54.47252306
176.2,488.8,26580,35.1,39.3,37.9,40.6,"Bullock County, Alabama",2.73,28.9,8.2,65.5,NA,0,48.1,44.3,28.9,26.64356621,70.70612474,0.206031092,0,31.79473256
214.3,485.1,35681,28.8,34.6,34,35.4,"St. Louis city, Missouri",2.2,28.6,16.1,24.9,NA,14.5,55.5,35.3,23.9,45.74547743,47.68475696,2.845367312,0.820827434,24.42907814
177.8,453.5494221,47025,13.2,46.2,45,47.6,"Chase County, Kansas",2.34,54.4,15.9,47.7,NA,6.8,72.9,35.3,14,95.77516532,0.881704629,0,0.440852314,51.44144144
193.6,466,35468,27.9,35.4,34.7,36.1,"Orleans Parish, Louisiana",2.38,30,15.9,26.3,NA,12.6,53.9,37.6,25.8,34.29306308,59.53898996,3.022790374,1.382923942,26.74611467
206.1,548.5,60081,9.1,47.1,47.4,46.8,"Grand Isle County, Vermont",2.34,59.8,11.9,32.5,NA,14.5,69.9,41.2,22.9,94.92232451,0,0.373993096,0.115074799,58.04384486
159.7,456.5,51175,13.6,39,37.5,40.4,"Limestone County, Alabama",2.64,54.6,24.2,25.9,NA,5.7,69.5,29.9,15.8,81.05399471,12.86639266,1.24542537,2.042677777,57.69099432
153.8,430.7,61937,13.4,34.6,33.7,35.6,"Dane County, Wisconsin",2.35,47.5,6.3,21.9,NA,21.4,82.5,22.6,10.2,84.4213423,5.199353976,5.404960427,1.885542476,45.26843317
155.1,395.8,51827,15.2,35.4,34.1,36.4,"Sutter County, California",2.95,53,18.9,31.9,NA,4.5,54.5,41.4,26.9,69.56439573,2.151248858,14.74482136,6.138776024,53.34461259
236.8,639.7,41910,18.6,41,39.8,41.5,"Bracken County, Kentucky",2.54,53.4,22.3,35.6,41.4,0.7,66.7,37.4,22.3,98.93175074,0.023738872,0,0.913946588,49.89403573
239.8,380.6,32120,28.7,37.6,36.3,38.8,"Pemiscot County, Missouri",2.53,41.5,23.3,49.8,25.1,1.8,45.7,47.5,28,70.23602624,27.15703313,0.033637944,0.37001738,38.70967742
147.9,408.2,54771,10.4,36.2,34.3,38.3,"Meade County, South Dakota",2.42,61.8,17.4,28.1,NA,3,73.4,29.1,13.2,90.31879004,1.842234942,0.993139002,1.250900269,58.5480978
143.3,365.9,63575,9,38.1,37.6,39.1,"Lincoln County, Wyoming",2.68,61.4,14,55.2,25.7,5.1,77.6,24.9,10.6,96.53854553,0.147412099,0.414937759,0.540511029,61.14462263
160.1,398.2,58792,11.2,40.6,40.2,41.2,"Austin County, Texas",2.59,59.6,17.1,49.5,NA,4.7,67.3,28.4,14.2,84.75732189,8.838191511,0,3.454960881,58.69722776
203.9,471.1,34830,21.1,40.3,38.2,42.4,"Chattooga County, Georgia",0.0249,46.9,34.7,34.3,NA,4.4,49.3,43.6,26.5,86.31195278,10.72857652,0.511073254,0.895368646,46.77488253
270.4,529.6,27484,40.6,38.1,35.6,41.8,"Martin County, Kentucky",2.57,51.4,19.8,52,NA,0.2,39.2,56.5,39.7,94.34724092,4.72646663,0.00791703,0.316681181,52.68518519
220.7,460.1,35774,21.3,40,38.6,41.9,"Butler County, Missouri",2.51,51.4,16.1,31.5,NA,5.6,57.1,42.3,23.6,90.70103141,5.559823985,0.577402156,0.363204582,49.85056784
202.6,514.6,40013,18.5,46,44.6,47.2,"Wetzel County, West Virginia",2.46,51.4,19.8,52.5,NA,3.2,63.5,44.6,21.3,98.44030451,0.117596088,0.470384354,0,51.70881226
161.3,419.5,47451,24.5,31.1,30.5,31.7,"Kern County, California",3.21,46.5,19.7,36.6,NA,3.7,51.8,40.1,29.5,74.69748284,5.662349723,4.568367262,10.47189905,50.96534463
184.8,427.6,41883,20.1,37.7,36,39.6,"Bowie County, Texas",2.63,46.6,17.3,40.9,NA,3.2,59.7,36.1,19.6,69.25339488,24.27030218,0.984380871,2.232837744,47.41046585
169.8,463.5,45453,15.4,42.1,41.6,42.9,"Pender County, North Carolina",2.67,51.7,22,32.2,NA,6.9,63.1,35.8,17.9,76.27705471,17.11924011,0.208461734,3.681615488,52.10630899
168,294.6,46364,13.1,53.1,53.4,52.8,"Jeff Davis County, Texas",2.12,59.5,51.3,48.7,NA,0,56.3,40.3,17.8,90.86021505,0.313620072,1.075268817,6.272401434,55.22971652
193.5,501.4,49897,16.5,502.8,40.7,43.5,"Greene County, Pennsylvania",2.33,49.4,10.7,42.9,38.3,8.1,71.4,36.2,17,92.21624756,5.071432337,0.218778006,0.548262955,50.06252605
